,Age,WBC_Count,Protein_Level,Glucose_Level,Hemoglobin,WBC_Blood_Count,Platelets,CRP_Level
Age,1.0,0.376,0.415,-0.105,-0.324,0.353,-0.296,0.414
WBC_Count,0.376,1.0,0.7,-0.496,-0.616,0.604,-0.575,0.561
Protein_Level,0.415,0.7,1.0,-0.46,-0.605,0.584,-0.524,0.62
Glucose_Level,-0.105,-0.496,-0.46,1.0,0.407,-0.404,0.368,-0.217
Hemoglobin,-0.324,-0.616,-0.605,0.407,1.0,-0.848,0.768,-0.6
WBC_Blood_Count,0.353,0.604,0.584,-0.404,-0.848,1.0,-0.742,0.576
Platelets,-0.296,-0.575,-0.524,0.368,0.768,-0.742,1.0,-0.522
CRP_Level,0.414,0.561,0.62,-0.217,-0.6,0.576,-0.522,1.0
